브랜드,차량이름,트림,차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,전속이력,침수이력,용도이력,소유자변경,딜러이름,딜러위치,딜러전화번호,url,선루프,제논라이트(HID),알루미늄휠,전동접이식미러,주간주행등(DLR),파노라마썬루프,루프랙,LED리어램프,하이빔 어시스트,고스트 도어 클로징,자동슬라이딩도어,전동사이드스탭,어댑티드헤드램프,열선시트,통풍시트,파워핸들,핸들 리모컨,가죽시트,운전석전동시트,조수석전동시트,뒷좌석전동시트,메모리시트,안마시트,슈퍼비전계기판,패들시프트,하이패스,메모리시트(동승석),열선시트(뒷좌석),엠비언트라이트,워크인시트,전동햇빛가리개,통풍시트(동승석),통풍시트(뒷좌석),후방감지센서,사이드&커튼에어백,운전석에어백,조수석에어백,후방카메라,어라운드뷰,블랙박스,ABS,ECS,TCS,차체자세제어장치,차선이탈경보장치,도난경보기,타이어 공기압감지,무릎에어백,주차감지센서(전방),전방카메라,자동긴급제동(AEB),스마트키,파워윈도우,자동도어잠금,풀오토에어컨,오토라이트,자동주차시스템,전자식파킹브레이크,HUD,ECM룸밀러,크루즈컨트롤,전동트렁크,핸들열선,무선도어 잠금장치,레인센서와이퍼,스탑앤고,무선충전,내비게이션,CD플레이어,CD체인저,AV시스템,MP3,AUX,USB,핸즈프리,iPod 단자,뒷좌석모니터,스마트폰미러링,내비게이션 (비순정),블루투스
현대,e-마이티,3.5톤 내장탑차,82가9123,09년06월(09년형),"311,959km",디젤,수동,정보없음,트럭,100cc,흰색,정보없음,없음,없음,20201016652,없음,없음,없음,2회,박종철 딜러,경기 도이치오토월드,0504-881-8982,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=11115621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대,쏘나타 (DN8),2.0 인스퍼레이션,27하9236,19년05월(20년형),"11,000km",가솔린,오토,13.0Km,중형,"1,999cc",회색,없음,없음,없음,20200828,없음,없음,있음,없음,윤민표 딜러,경기 국민차매매단지(공항점),0504-881-7451,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=20701647,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
현대,뉴그랜저XG,LPG R27 기본형,04도9886,03년11월(04년형),"277,000km",LPG,오토,정보없음,대형,"2,656cc",진주색,없음,없음,없음,.,없음,없음,없음,7회,권용진 딜러,충북 M-City 단지,0504-881-0704,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=11453153,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
현대,NF쏘나타,N20 Luxury 기본형,08라2226,06년12월(07년형),"246,341km",가솔린,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,2018419117,없음,없음,없음,8회,이동욱 딜러,경기 오토캐슬매매단지,0507-2019-9981,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=11034179,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
현대,에쿠스(신형),VS380 프리미엄,26마4807,15년06월(15년형),"100,000km",가솔린,오토,8.9Km,대형,"3,778cc",검정색,없음,없음,없음,201810002901,없음,없음,없음,1회,최일섭 딜러,전북 팔봉오토파크,0504-882-0969,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=11075816,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0
현대,포터2,기타,82러3023,18년04월(18년형),"105,897km",디젤,오토,정보없음,트럭,0cc,흰색,정보없음,없음,없음,정보없음,없음,없음,없음,2회,최병일 딜러,경기 경기자동차매매단지,0507-2018-3082,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=20601027,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
현대,아반떼AD,1.6 e-VGT 프리미엄,14무4274,16년12월(17년형),"77,215km",디젤,오토,17.7Km,준중형,"1,600cc",회색,없음,없음,없음,20201012,없음,없음,없음,없음,이명진 딜러,경기 경매자동차매매단지,0507-0474-2541,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=20819964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대,아반떼MD,M16 GDi LUXURY,45라4097,11년05월(12년형),"93,857km",가솔린,오토,정보없음,준중형,0cc,흰색,없음,없음,없음,2020153009,없음,없음,없음,3회,서안수 딜러,경기 국민차매매단지(부천점),0504-834-9545,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=20609490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대,에쿠스(신형),VS380 프라임,16누4938,10년01월(10년형),"261,704km",가솔린,오토,정보없음,대형,0cc,검정색,정보없음,없음,1건,2019026841,없음,없음,없음,2회,조상현 딜러,경기 안양오토갤러리,0504-882-6288,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=11143985,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
현대,제네시스 쿠페,380 GT-P,53무7282,09년12월(10년형),"84,070km",가솔린,오토,정보없음,스포츠카,"3,778cc",검정,없음,없음,없음,2020190049,20120306,없음,없음,8회,이지훈 딜러,경기 국민차매매단지(공항점),0504-835-6083,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=20766535,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1
현대,싼타페,2.0 디젤 2WD GOLD 고급형,31누6097,01년07월(01년형),"193,659km",디젤,오토,정보없음,SUV,"1,991cc",은색,없음,없음,없음,20180719,없음,없음,없음,4회,남상실 딜러,경기 서수원자동차매매단지,0507-2018-2968,https://www.kbchachacha.com//public/car/detail.kbc?carSeq=10822123,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
