,0,1
0,None,None
1,http://office.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=1910936936,http://office.carvan.kr/office/rest/extservice/OUT4511
2,None,None
3,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=201940046048,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
4,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=201830263527,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
5,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=202040002695,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
6,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=201915019053,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
7,None,None
8,None,None
9,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=202040002507,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
10,http://office.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=1910932911,http://office.carvan.kr/office/rest/extservice/OUT4511
11,http://ext.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=2914014368,http://ext.carvan.kr/office/rest/extservice/OUT4511
12,http://ck.carmodoo.co.kr/carCheck/carmodooPrint.do?print=0&checkNum=1219001047,http://ck.carmodoo.co.kr/carCheck/carmodooPrint.do
13,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=201940040937,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
14,None,None
15,None,None
16,None,None
17,None,None
18,None,None
19,http://221.143.49.206/CarCheck/popupCheck.asp?ckno=3704009152,http://221.143.49.206/CarCheck/popupCheck.asp
20,None,None
21,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2019300122937,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
22,None,None
23,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2020300168744,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
24,None,None
25,None,None
26,None,None
27,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2020300122750,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
28,http://m-park.co.kr/carshare/share/CarCheck_180702.asp?CheckNo=0031310103,http://m-park.co.kr/carshare/share/CarCheck_180702.asp
29,None,None
